campaign_id,campaign_name,ad_group_id,ad_group_name,Date,banner_group_spend,views,clicks,CTR,average_cpc,DIRECT PPV,DIRECT UNITS,INDIRECT UNITS,units_direct_view,units_indirect_view,CVR,DIRECT REVENUE,INDIRECT REVENUE,revenue_direct_view,revenue_indirect_view,Direct ROI,Indirect ROI
VCXT4YX9M4L7,LF-GOCRUSH,VXMV5LQ9N7PH,900,8/8/2022,8796.15,65033,1043,1.6038,8.4335,595,2,0,3,0,0.0048,3448,0,2397,0,0.6645,0
W2LQUBQ1GHUK,LF-GOBUDS,60IRAJUORSKN,600 -621,27-08-2022,7340,64852,706,1.0886,10.3966,393,1,0,8,0,0.0127,899,0,7480,0,1.1416,0
VCXT4YX9M4L7,LF-GOCRUSH,686G8YJY0YN2,421,21-08-2022,7762.7,63114,792,1.2549,9.8014,443,3,0,1,0,0.0051,4097,0,999,0,0.6565,0
VCXT4YX9M4L7,LF-GOCRUSH,686G8YJY0YN2,421,7/8/2022,3734.5,63054,679,1.0769,5.5,470,3,0,3,0,0.0088,7897,0,7897,0,4.2292,0
W2LQUBQ1GHUK,LF-GOBUDS,4WGJOGGBFV99,920,21-08-2022,13896.6,62801,1138,1.8121,12.2114,415,2,0,3,0,0.0044,1798,0,2447,0,0.3055,0
VCXT4YX9M4L7,LF-GOCRUSH,VCPC8NHZ5JPD,410,6/8/2022,3978.15,62464,620,0.9926,6.4164,330,3,0,1,0,0.0065,3497,0,1299,0,1.2056,0
6TPOU8BFFYSI,LF-PCA-GOKIXX-PT,UO4LRP1LQ37K,GO KIXX 400-auto,26-08-2022,3422.4,61269,713,1.1637,4.8,663,6,0,7,0,0.0182,4970,0,5593,0,3.0864,0
VCXT4YX9M4L7,LF-GOCRUSH,686G8YJY0YN2,421,29-08-2022,2277,60755,414,0.6814,5.5,241,3,0,1,0,0.0097,3858,0,1139,0,2.1946,0
W2LQUBQ1GHUK,LF-GOBUDS,60IRAJUORSKN,600 -621,8/8/2022,3344,59797,836,1.3981,4,343,0,0,6,0,0.0072,0,0,4994,0,1.4934,0
J5ERP57TK6C4,LF-GOKIXX,B3K04C8U0705,GOKIXX-999,25-08-2022,2796,59426,466,0.7842,6,150,4,0,3,0,0.015,3796,0,2397,0,2.2149,0
W2LQUBQ1GHUK,LF-GOBUDS,60IRAJUORSKN,600 -621,9/8/2022,3376,58952,844,1.4317,4,268,0,0,0,0,0,0,0,0,0,0,0
